"Sample","n_1","n_12","n_23","Parameter","Estimates","Std_Errors"
5,30,2,2,"X_2_cont",-0.672923291568388,0.175148405645525
5,30,2,2,"X_3_dich",0.521069747351135,0.370465103703445
5,30,2,2,"log_sigma_0",0.369326045619371,0.10168241626714
5,30,2,2,"log_sigma_1",-9.32095080219742,4801.82742811988
5,30,2,2,"log_sigma_2",-14.6093456021991,321762.375084643
5,30,2,2,"sigma_0",1.44675923629496,0.147109974903274
5,30,2,2,"sigma_1",8.95287457938291e-05,0.429901587157981
5,30,2,2,"sigma_2",4.52107613630101e-07,0.145471219555471
5,30,2,2,"sigma2_0",2.09311228780479,0.425665429884864
5,30,2,2,"sigma2_1",8.01539632341606e-09,7.6977099826061e-05
5,30,2,2,"sigma2_2",2.04401294302304e-13,1.31537291850169e-07
6,30,2,2,"intercept",0.755426474096606,NA
6,30,2,2,"X_1_cont",1.32471995552341,NA
6,30,2,2,"X_2_cont",-0.61571693691184,NA
6,30,2,2,"X_3_dich",1.41331416937022,NA
6,30,2,2,"log_sigma_0",0.2073214668858,NA
6,30,2,2,"log_sigma_1",-8.98495510726835,NA
6,30,2,2,"log_sigma_2",-16.5175852971666,NA
6,30,2,2,"sigma_0",1.23037803400829,NA
6,30,2,2,"sigma_1",0.000125280528488961,NA
6,30,2,2,"sigma_2",6.70662233723794e-08,NA
6,30,2,2,"sigma2_0",1.51383010657011,NA
6,30,2,2,"sigma2_1",1.56952108184733e-08,NA
6,30,2,2,"sigma2_2",4.4978783174339e-15,NA
7,30,2,2,"intercept",0.973947201489995,0.26739440729806
7,30,2,2,"X_1_cont",1.36069179680606,0.189767444515318
7,30,2,2,"X_2_cont",-0.478569829120421,0.150016423457934
7,30,2,2,"X_3_dich",1.20815186617242,0.323283037293932
7,30,2,2,"log_sigma_0",0.173859946455747,0.103629253685316
7,30,2,2,"log_sigma_1",-9.70283793155846,3744.69450258735
7,30,2,2,"log_sigma_2",-1.33027846685472,0.82277145881627
7,30,2,2,"sigma_0",1.18988890599143,0.12330729929633
7,30,2,2,"sigma_1",6.11098232395192e-05,0.228837619139112
